This file was downloaded on February 26 2018 4:12:17 AM UTC-08:00
Keywords,footwear
Date Range,2015-02-24 - 2018-02-24
Site: ,ebay.com.au
Listing Format: ,FixedPrice,StoresFixedPrice
Buyer Country: ,AU
Seller Country: ,AU
Category: ,Clothing, Shoes, Accessories

Date,Items Sold,Average Selling Price,Total Sales
2016-01-15,19,27.70 USD,526.35 USD
2016-01-16,15,26.26 USD,393.88 USD
2016-01-17,19,20.87 USD,396.53 USD
2016-01-18,19,25.14 USD,477.65 USD
2016-01-19,14,22.05 USD,308.75 USD
2016-01-20,17,27.53 USD,468.05 USD
2016-01-21,15,30.56 USD,458.46 USD
2016-01-22,14,31.73 USD,444.27 USD
2016-01-23,13,31.62 USD,411.03 USD
2016-01-24,9,13.81 USD,124.27 USD
2016-01-25,4,29.92 USD,119.66 USD
2016-01-26,10,21.71 USD,217.05 USD
2016-01-27,19,30.85 USD,586.08 USD
2016-01-28,16,19.14 USD,306.26 USD
2016-01-29,11,25.02 USD,275.17 USD
2016-01-30,6,32.63 USD,195.78 USD
2016-01-31,16,38.67 USD,618.67 USD
2016-02-01,13,50.07 USD,650.89 USD
2016-02-02,14,33.69 USD,471.71 USD
2016-02-03,21,42.41 USD,890.67 USD
2016-02-04,8,52.18 USD,417.42 USD
2016-02-05,10,42.24 USD,422.39 USD
2016-02-06,7,16.48 USD,115.33 USD
2016-02-07,11,27.94 USD,307.38 USD
2016-02-08,7,29.94 USD,209.58 USD
2016-02-09,4,46.27 USD,185.06 USD
2016-02-10,10,45.81 USD,458.06 USD
2016-02-11,9,61.48 USD,553.33 USD
2016-02-12,8,19.19 USD,153.55 USD
2016-02-13,7,31.71 USD,221.97 USD
2016-02-14,9,24.06 USD,216.57 USD
2016-02-15,17,15.12 USD,256.98 USD
2016-02-16,11,22.58 USD,248.43 USD
2016-02-17,11,26.58 USD,292.33 USD
2016-02-18,12,26.58 USD,319.00 USD
2016-02-19,9,31.57 USD,284.12 USD
2016-02-20,14,31.89 USD,446.47 USD
2016-02-21,22,23.86 USD,524.90 USD
2016-02-22,14,25.11 USD,351.59 USD
2016-02-23,16,29.46 USD,471.41 USD
2016-02-24,8,13.77 USD,110.16 USD
2016-02-25,9,26.33 USD,236.97 USD
2016-02-26,8,41.42 USD,331.37 USD
2016-02-27,20,31.63 USD,632.61 USD
2016-02-28,8,27.68 USD,221.47 USD
2016-02-29,16,25.55 USD,408.86 USD
2016-03-01,22,28.22 USD,620.75 USD
2016-03-02,11,47.75 USD,525.25 USD
2016-03-03,18,34.55 USD,621.94 USD
2016-03-04,11,23.99 USD,263.93 USD
2016-03-05,8,23.41 USD,187.28 USD
2016-03-06,17,27.35 USD,464.92 USD
2016-03-07,9,12.83 USD,115.45 USD
2016-03-08,16,21.92 USD,350.67 USD
2016-03-09,15,24.27 USD,364.11 USD
2016-03-10,11,19.89 USD,218.76 USD
2016-03-11,12,26.51 USD,318.08 USD
2016-03-12,19,15.42 USD,293.01 USD
2016-03-13,21,25.49 USD,535.33 USD
2016-03-14,10,27.51 USD,275.12 USD
2016-03-15,12,19.63 USD,235.56 USD
2016-03-16,21,19.25 USD,404.26 USD
2016-03-17,11,42.96 USD,472.51 USD
2016-03-18,12,49.34 USD,592.03 USD
2016-03-19,5,14.36 USD,71.82 USD
2016-03-20,15,28.47 USD,427.09 USD
2016-03-21,8,22.17 USD,177.39 USD
2016-03-22,11,36.40 USD,400.35 USD
2016-03-23,14,53.88 USD,754.30 USD
2016-03-24,8,40.31 USD,322.48 USD
2016-03-25,7,45.17 USD,316.21 USD
2016-03-26,11,27.13 USD,298.47 USD
2016-03-27,10,24.40 USD,244.01 USD
2016-03-28,19,28.48 USD,541.05 USD
2016-03-29,15,49.04 USD,735.57 USD
2016-03-30,16,28.99 USD,463.81 USD
2016-03-31,9,30.71 USD,276.42 USD
2016-04-01,10,63.38 USD,633.81 USD
2016-04-02,15,24.37 USD,365.53 USD
2016-04-03,11,41.46 USD,456.03 USD
2016-04-04,7,35.56 USD,248.93 USD
2016-04-05,14,31.05 USD,434.71 USD
2016-04-06,19,32.48 USD,617.05 USD
2016-04-07,10,52.17 USD,521.70 USD
2016-04-08,19,20.58 USD,390.93 USD
2016-04-09,10,25.78 USD,257.84 USD
2016-04-10,25,69.80 USD,1745.10 USD
2016-04-11,9,42.63 USD,383.63 USD
2016-04-12,9,39.03 USD,351.30 USD
2016-04-13,9,52.21 USD,469.90 USD
2016-04-14,18,27.36 USD,492.55 USD
2016-04-15,8,43.72 USD,349.76 USD
2016-04-16,7,24.36 USD,170.52 USD
2016-04-17,11,37.42 USD,411.66 USD
2016-04-18,8,40.27 USD,322.17 USD
2016-04-19,17,31.61 USD,537.35 USD
2016-04-20,9,33.18 USD,298.63 USD
2016-04-21,12,38.01 USD,456.12 USD
2016-04-22,8,38.05 USD,304.37 USD
2016-04-23,10,25.09 USD,250.86 USD
2016-04-24,10,23.30 USD,232.95 USD
2016-04-25,13,35.07 USD,455.93 USD
2016-04-26,11,50.31 USD,553.42 USD
2016-04-27,8,32.97 USD,263.74 USD
2016-04-28,10,38.48 USD,384.75 USD
2016-04-29,9,26.20 USD,235.82 USD
2016-04-30,12,35.71 USD,428.52 USD
2016-05-01,16,34.32 USD,549.12 USD
2016-05-02,6,29.61 USD,177.66 USD
2016-05-03,8,49.07 USD,392.53 USD
2016-05-04,10,20.12 USD,201.15 USD
2016-05-05,7,24.57 USD,172.01 USD
2016-05-06,4,26.60 USD,106.40 USD
2016-05-07,8,29.17 USD,233.36 USD
2016-05-08,7,36.80 USD,257.63 USD
2016-05-09,8,30.49 USD,243.94 USD
2016-05-10,16,48.85 USD,781.53 USD
2016-05-11,23,46.04 USD,1058.94 USD
2016-05-12,20,62.50 USD,1250.02 USD
2016-05-13,16,50.56 USD,808.90 USD
2016-05-14,17,56.14 USD,954.38 USD
2016-05-15,26,53.39 USD,1388.06 USD
2016-05-16,42,43.58 USD,1830.25 USD
2016-05-17,30,47.92 USD,1437.45 USD
2016-05-18,27,33.67 USD,908.97 USD
2016-05-19,35,46.54 USD,1628.78 USD
2016-05-20,22,41.31 USD,908.90 USD
2016-05-21,19,35.02 USD,665.44 USD
2016-05-22,24,53.82 USD,1291.61 USD
2016-05-23,36,36.77 USD,1323.76 USD
2016-05-24,43,36.51 USD,1569.82 USD
2016-05-25,48,49.02 USD,2352.89 USD
2016-05-26,37,51.04 USD,1888.38 USD
2016-05-27,43,49.29 USD,2119.66 USD
2016-05-28,27,56.48 USD,1525.00 USD
2016-05-29,38,49.31 USD,1873.75 USD
2016-05-30,47,39.97 USD,1878.69 USD
2016-05-31,248,32.51 USD,8063.66 USD
2016-06-01,19,66.13 USD,1256.42 USD
2016-06-02,130,49.24 USD,6401.04 USD
2016-06-03,177,44.96 USD,7957.48 USD
2016-06-04,97,53.22 USD,5162.20 USD
2016-06-05,96,55.81 USD,5357.59 USD
2016-06-06,65,57.53 USD,3739.77 USD
2016-06-07,69,58.02 USD,4003.28 USD
2016-06-08,83,62.83 USD,5215.14 USD
2016-06-09,94,52.50 USD,4935.31 USD
2016-06-10,41,69.60 USD,2853.52 USD
2016-06-11,40,50.72 USD,2028.63 USD
2016-06-12,48,45.43 USD,2180.75 USD
2016-06-13,29,50.65 USD,1468.99 USD
2016-06-14,26,52.58 USD,1367.06 USD
2016-06-15,28,52.62 USD,1473.42 USD
2016-06-16,22,42.41 USD,933.09 USD
2016-06-17,21,41.21 USD,865.48 USD
2016-06-18,15,40.07 USD,601.03 USD
2016-06-19,21,43.95 USD,922.94 USD
2016-06-20,22,42.47 USD,934.39 USD
2016-06-21,17,47.61 USD,809.38 USD
2016-06-22,18,52.00 USD,935.96 USD
2016-06-23,17,51.48 USD,875.10 USD
2016-06-24,16,51.80 USD,828.73 USD
2016-06-25,31,67.30 USD,2086.38 USD
2016-06-26,15,64.96 USD,974.45 USD
2016-06-27,22,66.74 USD,1468.26 USD
2016-06-28,31,46.84 USD,1452.15 USD
2016-06-29,26,60.16 USD,1564.10 USD
2016-06-30,18,60.49 USD,1088.87 USD
2016-07-01,11,54.27 USD,596.95 USD
2016-07-02,25,36.12 USD,903.00 USD
2016-07-03,21,69.61 USD,1461.85 USD
2016-07-04,28,35.99 USD,1007.59 USD
2016-07-05,23,52.84 USD,1215.23 USD
2016-07-06,37,43.07 USD,1593.43 USD
2016-07-07,27,45.77 USD,1235.80 USD
2016-07-08,21,53.73 USD,1128.29 USD
2016-07-09,29,55.72 USD,1615.93 USD
2016-07-10,41,50.90 USD,2086.82 USD
2016-07-11,34,58.61 USD,1992.65 USD
2016-07-12,36,51.75 USD,1862.93 USD
2016-07-13,43,52.25 USD,2246.70 USD
2016-07-14,49,53.27 USD,2610.42 USD
2016-07-15,22,51.08 USD,1123.73 USD
2016-07-16,24,50.89 USD,1221.32 USD
2016-07-17,31,52.64 USD,1631.79 USD
2016-07-18,24,38.74 USD,929.69 USD
2016-07-19,16,31.65 USD,506.43 USD
2016-07-20,13,20.46 USD,266.04 USD
2016-07-21,9,16.44 USD,148.00 USD
2016-07-22,3,21.59 USD,64.78 USD
2016-07-23,11,35.67 USD,392.34 USD
2016-07-24,17,55.28 USD,939.74 USD
2016-07-25,30,53.96 USD,1618.79 USD
2016-07-26,23,54.80 USD,1260.29 USD
2016-07-27,6,52.33 USD,313.96 USD
2016-07-28,12,21.17 USD,254.08 USD
2016-07-29,12,27.63 USD,331.53 USD
2016-07-30,16,21.72 USD,347.44 USD
2016-07-31,9,28.44 USD,255.95 USD
2016-08-01,17,39.70 USD,674.98 USD
